,price,year built,sqft,beds,bathroom,price_sqft,grage,HOA Fees,Address,Time On Web,sqft lot,Condo,Multi-Family,Single Family,Townhome
1728,399000,1929.0,1747.0,3.0,3.0,228.0,2,160.0,"1814 N Mulligan Ave, Chicago, IL 60639",88,5907.0,0,0,1,0
1730,259900,1926.0,1415.0,3.0,3.0,184.0,2,551.1388379204893,"5335 S Francisco Ave, Chicago, IL 60632",2,3751.0,0,0,1,0
1731,319000,1955.0,1139.0,3.0,2.0,280.0,2,250.0,"7555 W Palatine Ave, Chicago, IL 60631",39,4835.0,0,0,1,0
1734,199995,1972.0,800.0,1.0,1.0,250.0,1,654.0,"1960 N Lincoln Park W Apt 2011, Chicago, IL 60614",149,800.0,1,0,0,0
1740,95000,1979.0,500.0,1.0,1.0,190.0,1,204.0,"4623 N Chester Ave Unit 213W, Chicago, IL 60656",157,500.0,1,0,0,0
1743,210000,1929.0,600.0,1.0,1.0,350.0,0,477.0,"20 N State St Apt 713, Chicago, IL 60602",80,600.0,1,0,0,0
1748,184900,1951.0,1215.0,3.0,1.0,152.0,2,551.1388379204893,"415 W 99th Pl, Chicago, IL 60628",30,4787.0,0,0,1,0
1749,365000,1915.0,2096.0,6.0,2.0,174.0,2,551.1388379204893,"7324 S Green St, Chicago, IL 60621",30,3485.0,0,1,0,0
1751,184500,1959.0,800.0,1.0,1.0,231.0,2,763.0,"3440 N Lake Shore Dr Apt 3B, Chicago, IL 60657",13,800.0,1,0,0,0
1755,259000,1957.0,1250.0,3.0,2.0,207.0,2,125.0,"3637 W Marquette Rd, Chicago, IL 60629",30,4500.0,0,0,1,0
1756,230000,1898.0,3049.0,4.0,2.0,75.0,2,551.1388379204893,"12012 S Parnell Ave, Chicago, IL 60628",30,3049.0,0,1,0,0
1757,399000,1999.0,1836.0,3.0,2.5,217.0,1,237.0,"4611 S Lake Park Ave, Chicago, IL 60653",30,3125.0,0,0,0,1
1759,325000,1890.0,1224.0,3.0,1.0,266.0,0,200.0,"4407 S Normal Ave, Chicago, IL 60609",30,3093.0,0,0,1,0
1760,499000,1920.0,2500.0,3.0,3.0,200.0,3,228.0,"10350 S Fairfield Ave, Chicago, IL 60655",30,7400.0,0,0,1,0
1763,249000,1962.0,1300.0,2.0,2.0,192.0,0,525.0,"5460 S Cornell Ave Apt G, Chicago, IL 60615",30,1300.0,1,0,0,0
1766,435000,1926.0,2730.0,4.0,3.0,159.0,2,171.0,"3431 N Oak Park Ave, Chicago, IL 60634",30,3751.0,0,0,1,0
1768,275000,1957.0,850.0,1.0,1.0,324.0,1,691.0,"850 N Dewitt Pl Apt 10E, Chicago, IL 60611",31,850.0,1,0,0,0
1774,255000,1972.0,1440.0,3.0,2.0,177.0,1,551.1388379204893,"2653 E 127th St, Chicago, IL 60633",31,2749.0,0,0,1,0
1776,199000,1959.0,1032.0,3.0,1.0,193.0,2,551.1388379204893,"13455 S Avenue M, Chicago, IL 60633",31,3751.0,0,0,1,0
1778,399000,2004.0,1400.0,2.0,2.0,285.0,1,295.0,"1722 N Western Ave Apt 302, Chicago, IL 60647",31,1400.0,1,0,0,0
1779,330000,1886.0,1250.0,3.0,2.0,264.0,0,217.0,"1834 S Ashland Ave Apt 202, Chicago, IL 60608",31,1250.0,1,0,0,0
1780,214900,1944.0,847.0,2.0,1.5,254.0,2,551.1388379204893,"9748 S Union Ave, Chicago, IL 60628",13,5001.0,0,0,1,0
1783,115000,1926.0,1400.0,3.0,1.0,82.0,2,200.0,"718 W 50th Pl, Chicago, IL 60609",14,3125.0,0,0,1,0
1787,174900,1913.0,3049.0,6.0,2.0,57.0,0,551.1388379204893,"5929 S Paulina St, Chicago, IL 60636",14,3049.0,0,1,0,0
1788,250000,1969.0,936.0,1.0,1.0,267.0,1,880.0,"175 E Delaware Pl Apt 5407, Chicago, IL 60611",13,936.0,1,0,0,0
1792,430000,2023.0,2600.0,3.0,3.5,165.0,2,334.0,"4836 W Crystal St, Chicago, IL 60651",5,3524.0,0,0,1,0
1794,170000,1962.0,1080.0,3.0,1.0,157.0,2,551.1388379204893,"6205 S Hoyne Ave, Chicago, IL 60636",5,3600.0,0,0,1,0
1795,279000,1988.0,2500.0,3.0,2.0,112.0,2,300.0,"11645 S Ewing Ave, Chicago, IL 60617",5,4539.0,0,0,1,0
1797,145000,1954.0,1768.0,5.0,2.5,82.0,2,244.0,"1317 W 108th Pl, Chicago, IL 60643",5,3751.0,0,0,1,0
1798,109999,1942.0,1200.0,4.0,1.5,92.0,0,551.1388379204893,"656 W 116th St, Chicago, IL 60628",5,3877.0,0,0,1,0
1799,60000,1891.0,880.0,4.0,1.0,68.0,0,551.1388379204893,"11517 S Perry Ave, Chicago, IL 60628",5,3511.0,0,0,1,0
1800,219000,1960.0,2276.0,3.0,2.0,96.0,0,551.1388379204893,"9222 S Parnell Ave, Chicago, IL 60620",4,3920.0,0,0,1,0
1801,324900,2005.0,2700.0,4.0,3.0,120.0,0,327.0,"3823 S Wabash Ave Apt 1S, Chicago, IL 60653",5,2700.0,1,0,0,0
1802,225000,1893.0,1536.0,5.0,2.0,146.0,2,478.0,"2481 E 74th St, Chicago, IL 60649",5,4600.0,0,0,1,0
1803,399500,1920.0,2550.0,5.0,3.0,157.0,2,160.0,"2112 N Moody Ave, Chicago, IL 60639",5,3750.0,0,0,1,0
1804,279900,1929.0,1350.0,3.0,3.0,207.0,2,551.1388379204893,"9137 S Paulina St, Chicago, IL 60620",5,4125.0,0,0,1,0
1807,149900,1913.0,3049.0,3.0,2.0,49.0,2,551.1388379204893,"8446 S May St, Chicago, IL 60620",5,3049.0,0,1,0,0
1808,244990,1951.0,1100.0,2.0,2.0,223.0,2,368.0,"3537 W 81st Pl, Chicago, IL 60652",5,4408.0,0,0,1,0
1810,259000,1953.0,1433.0,3.0,1.0,181.0,2,368.0,"7814 S Trumbull Ave, Chicago, IL 60652",5,5249.0,0,0,1,0
1811,235000,1949.0,1015.0,1.0,1.0,232.0,0,623.0,"345 N Canal St Apt 403, Chicago, IL 60606",5,1015.0,1,0,0,0
1812,439900,2022.0,3328.0,5.0,3.0,132.0,2,125.0,"3611 W Marquette Rd, Chicago, IL 60629",5,3123.0,0,0,1,0
1816,500000,1885.0,3000.0,6.0,3.0,167.0,0,200.0,"3812 S Parnell Ave, Chicago, IL 60609",5,3000.0,0,1,0,0
1817,399500,1979.0,1200.0,2.0,2.0,333.0,1,1130.0,"50 E Bellevue Pl Apt 2104, Chicago, IL 60611",5,1200.0,1,0,0,0
1818,581000,1944.0,2855.0,4.0,4.0,204.0,2,288.0,"5416 N Meade Ave, Chicago, IL 60630",5,4356.0,0,0,1,0
1819,399000,1926.0,1400.0,3.0,2.0,285.0,2,160.0,"2652 N Mango Ave, Chicago, IL 60639",5,3720.0,0,0,1,0
1820,410000,1914.0,1500.0,2.0,2.0,273.0,1,939.0,"40 E 9th St Apt 1301, Chicago, IL 60605",5,1500.0,1,0,0,0
1821,387500,1925.0,1687.0,4.0,3.0,230.0,2,160.0,"1719 N Mango Ave, Chicago, IL 60639",5,3570.0,0,0,1,0
1823,339900,1954.0,1082.0,3.0,2.0,314.0,1,200.0,"5537 S Mulligan Ave, Chicago, IL 60638",5,6251.0,0,0,1,0
